Scenario,ID,Eta,ETA_VAL,ETA_SE,OMEGA_SD,ETA_SE/OMEGA_SD,SHRINK_SUB_VAR,SHRINK_SUB_SD
WorkFlow,1,nVmax,-0.170683,0.369608,0.790418,0.467610,0.218659,0.116065
WorkFlow,2,nVmax,0.872339,0.614538,0.790418,0.777485,0.604482,0.371098
WorkFlow,3,nVmax,0.193230,0.643395,0.790418,0.813993,0.662584,0.419125
WorkFlow,4,nVmax,-1.174169,0.276037,0.790418,0.349229,0.121961,0.062963
WorkFlow,5,nVmax,-0.172311,0.626227,0.790418,0.792273,0.627696,0.389833
WorkFlow,6,nVmax,-1.095956,0.232543,0.790418,0.294203,0.086555,0.044257
WorkFlow,7,nVmax,-0.855933,0.253251,0.790418,0.320401,0.102657,0.052718
WorkFlow,8,nVmax,-0.046764,0.542475,0.790418,0.686314,0.471027,0.272694
WorkFlow,9,nVmax,-0.174691,0.656173,0.790418,0.830159,0.689164,0.442473
WorkFlow,10,nVmax,0.416284,0.598865,0.790418,0.757656,0.574043,0.347346
WorkFlow,11,nVmax,-0.525302,0.554706,0.790418,0.701788,0.492507,0.287614
WorkFlow,12,nVmax,0.255108,0.645102,0.790418,0.816153,0.666105,0.422164
WorkFlow,13,nVmax,0.398892,0.594377,0.790418,0.751978,0.565470,0.340811
WorkFlow,14,nVmax,0.763553,0.619253,0.790418,0.783450,0.613794,0.378545
WorkFlow,15,nVmax,0.100090,0.608432,0.790418,0.769760,0.592530,0.361666
WorkFlow,16,nVmax,1.101391,0.606944,0.790418,0.767877,0.589636,0.359403
WorkFlow,17,nVmax,-0.257774,0.717179,0.790418,0.907341,0.823269,0.579606
WorkFlow,18,nVmax,0.237442,0.645103,0.790418,0.816154,0.666108,0.422166
WorkFlow,19,nVmax,0.473322,0.627028,0.790418,0.793286,0.629303,0.391151
WorkFlow,20,nVmax,0.164253,0.650660,0.790418,0.823185,0.677633,0.432227
WorkFlow,21,nVmax,0.070299,0.683636,0.790418,0.864904,0.748060,0.498063
WorkFlow,22,nVmax,0.141614,0.467214,0.790418,0.591096,0.349395,0.193399
WorkFlow,23,nVmax,0.103013,0.620981,0.790418,0.785636,0.617224,0.381311
WorkFlow,24,nVmax,1.480015,0.603322,0.790418,0.763295,0.582619,0.353950
WorkFlow,25,nVmax,0.545619,0.627021,0.790418,0.793277,0.629289,0.391140
WorkFlow,26,nVmax,0.322616,0.635643,0.790418,0.804186,0.646714,0.405622
WorkFlow,27,nVmax,-0.036691,0.528629,0.790418,0.668796,0.447288,0.256554
WorkFlow,28,nVmax,-1.332446,0.296039,0.790418,0.374535,0.140277,0.072787
WorkFlow,29,nVmax,0.122586,0.649185,0.790418,0.821318,0.674564,0.429530
WorkFlow,30,nVmax,-0.391873,0.544026,0.790418,0.688276,0.473724,0.274551
WorkFlow,31,nVmax,0.352072,0.634620,0.790418,0.802892,0.644635,0.403875
WorkFlow,32,nVmax,-1.452979,0.166441,0.790418,0.210574,0.044341,0.022422
WorkFlow,33,nVmax,0.385153,0.601663,0.790418,0.761196,0.579419,0.351478
WorkFlow,34,nVmax,0.147627,0.673350,0.790418,0.851890,0.725717,0.476280
WorkFlow,35,nVmax,0.318228,0.632179,0.790418,0.799804,0.639686,0.399738
