Scenario,ID,Eta,Value
WorkFlow,1,nVmax,0.0281210425384574
WorkFlow,1,nKm,0.0561987448557767
WorkFlow,1,nV,-0.916813174306451
WorkFlow,2,nVmax,-0.68050666643704
WorkFlow,2,nKm,0.140543808777154
WorkFlow,2,nV,-0.408830219863639
WorkFlow,3,nVmax,0.150567061607098
WorkFlow,3,nKm,-0.194240797629147
WorkFlow,3,nV,0.227039842499743
WorkFlow,4,nVmax,0.270525611898593
WorkFlow,4,nKm,-0.136186788978448
WorkFlow,4,nV,0.681711651232988
WorkFlow,5,nVmax,0.0844843900129033
WorkFlow,5,nKm,0.474425737050802
WorkFlow,5,nV,-0.0458135535917908
WorkFlow,6,nVmax,-0.731121885035492
WorkFlow,6,nKm,-0.229894204831501
WorkFlow,6,nV,-1.29973912359272
WorkFlow,7,nVmax,-0.367879961824842
WorkFlow,7,nKm,-0.299035853511952
WorkFlow,7,nV,-0.852524380217083
WorkFlow,8,nVmax,0.0286970497748295
WorkFlow,8,nKm,-0.257471998469474
WorkFlow,8,nV,-0.0154057293247771
WorkFlow,9,nVmax,0.104117232488181
WorkFlow,9,nKm,0.537923880734494
WorkFlow,9,nV,-0.224355577988774
WorkFlow,10,nVmax,0.165998494414401
WorkFlow,10,nKm,-0.673676919865438
WorkFlow,10,nV,0.349957300519601
WorkFlow,11,nVmax,-0.14122490781105
WorkFlow,11,nKm,0.291491383199045
WorkFlow,11,nV,-0.498710292718272
WorkFlow,12,nVmax,0.0745016683842711
WorkFlow,12,nKm,-0.240056853803671
WorkFlow,12,nV,0.422409033704643
WorkFlow,13,nVmax,0.318077292253031
WorkFlow,13,nKm,-0.455894216240025
WorkFlow,13,nV,0.284795034932261
WorkFlow,14,nVmax,0.261316287424532
WorkFlow,14,nKm,0.753405768798093
WorkFlow,14,nV,0.542098371631922
WorkFlow,15,nVmax,-0.066591660297307
WorkFlow,15,nKm,-0.0548453724414461
WorkFlow,15,nV,-0.154524021292411
WorkFlow,16,nVmax,0.205164198146039
WorkFlow,16,nKm,0.0450691108427625
WorkFlow,16,nV,0.785267344979083
WorkFlow,17,nVmax,0.0756988007198239
WorkFlow,17,nKm,0.446799196480538
WorkFlow,17,nV,0.234786363352433
WorkFlow,18,nVmax,0.10281134696614
WorkFlow,18,nKm,0.262358097852389
WorkFlow,18,nV,0.198087163408293
WorkFlow,19,nVmax,0.365010816065724
WorkFlow,19,nKm,0.130051579273576
WorkFlow,19,nV,0.340525026244379
WorkFlow,20,nVmax,0.368790476161126
WorkFlow,20,nKm,0.335480838326023
WorkFlow,20,nV,0.196739344805153
WorkFlow,21,nVmax,0.134713398262523
WorkFlow,21,nKm,0.625330670059732
WorkFlow,21,nV,0.0160901964853168
WorkFlow,22,nVmax,0.298378387296058
WorkFlow,22,nKm,-0.219638400098164
WorkFlow,22,nV,-0.280236803763152
WorkFlow,23,nVmax,0.0419053753856426
WorkFlow,23,nKm,-0.105996679791593
WorkFlow,23,nV,-0.166936797630979
WorkFlow,24,nVmax,0.651460230221114
WorkFlow,24,nKm,-0.200205824518039
WorkFlow,24,nV,1.60211891602828
WorkFlow,25,nVmax,0.397327048087361
WorkFlow,25,nKm,0.224007893050747
WorkFlow,25,nV,0.844749917594366
WorkFlow,26,nVmax,0.188168949818033
WorkFlow,26,nKm,-0.330375133278226
WorkFlow,26,nV,0.0717790953506289
WorkFlow,27,nVmax,0.32364184778575
WorkFlow,27,nKm,-0.375468494318558
WorkFlow,27,nV,0.114207158016682
WorkFlow,28,nVmax,-0.811332294852705
WorkFlow,28,nKm,-0.0410391981844386
WorkFlow,28,nV,-0.573965953546856
WorkFlow,29,nVmax,0.0727930978341537
WorkFlow,29,nKm,0.137144868725047
WorkFlow,29,nV,0.260032640653988
WorkFlow,30,nVmax,-0.0599615252439559
WorkFlow,30,nKm,0.00535276425836441
WorkFlow,30,nV,-0.180321957562525
WorkFlow,31,nVmax,0.248836781365764
WorkFlow,31,nKm,0.330803043143594
WorkFlow,31,nV,0.489548712155598
WorkFlow,32,nVmax,-0.898043717446703
WorkFlow,32,nKm,-0.219531616961262
WorkFlow,32,nV,-0.948635144025492
WorkFlow,33,nVmax,0.428573146512734
WorkFlow,33,nKm,-0.553210951576978
WorkFlow,33,nV,0.43935129773981
WorkFlow,34,nVmax,-0.0416376919327279
WorkFlow,34,nKm,0.348202163288124
WorkFlow,34,nV,0.114962019443397
WorkFlow,35,nVmax,0.355895145145691
WorkFlow,35,nKm,-0.0500487194832262
WorkFlow,35,nV,0.224864869901434
WorkFlow,36,nVmax,0.312359352688255
WorkFlow,36,nKm,0.249941996587624
WorkFlow,36,nV,0.331890185440317
WorkFlow,37,nVmax,0.136746983742493
WorkFlow,37,nKm,0.357772951556718
WorkFlow,37,nV,-0.00216827334629842
WorkFlow,38,nVmax,-0.512043626606092
WorkFlow,38,nKm,-0.785247124419226
WorkFlow,38,nV,-0.468367050580082
WorkFlow,39,nVmax,-0.310252529200547
WorkFlow,39,nKm,-0.117886924812539
WorkFlow,39,nV,-0.678577795197514
WorkFlow,40,nVmax,0.142039635456739
WorkFlow,40,nKm,-0.108035914984746
WorkFlow,40,nV,0.349973331665858
WorkFlow,41,nVmax,0.141098437561174
WorkFlow,41,nKm,0.489519544396098
WorkFlow,41,nV,0.130511194686538
WorkFlow,42,nVmax,-0.502105968391267
WorkFlow,42,nKm,-0.419945555015064
WorkFlow,42,nV,-0.466552017391915
WorkFlow,43,nVmax,0.137025445091736
WorkFlow,43,nKm,0.419574430336727
WorkFlow,43,nV,0.369900950317927
WorkFlow,44,nVmax,-0.190454462806889
WorkFlow,44,nKm,0.375441243002995
WorkFlow,44,nV,-0.383616328069779
WorkFlow,45,nVmax,-0.35094931648779
WorkFlow,45,nKm,-0.0811680303724719
WorkFlow,45,nV,-0.275951679507506
WorkFlow,46,nVmax,0.188038249545825
WorkFlow,46,nKm,0.0991938423440562
WorkFlow,46,nV,0.0840805219899137
WorkFlow,47,nVmax,-0.0601550836058885
WorkFlow,47,nKm,0.203047242916889
WorkFlow,47,nV,-0.053687140605851
WorkFlow,48,nVmax,0.171844793270585
WorkFlow,48,nKm,0.509315488946786
WorkFlow,48,nV,0.136095895633354
WorkFlow,49,nVmax,-0.315686523044429
WorkFlow,49,nKm,-0.369656511496512
WorkFlow,49,nV,-0.365796200917971
WorkFlow,50,nVmax,-0.303204976328357
WorkFlow,50,nKm,-0.113003012362209
WorkFlow,50,nV,-0.35971834258511
WorkFlow,51,nVmax,-0.293555586225562
WorkFlow,51,nKm,-1.22029035970798
WorkFlow,51,nV,-1.01807136938214
WorkFlow,52,nVmax,0.254300608291736
WorkFlow,52,nKm,0.617099259364196
WorkFlow,52,nV,-0.329276462192654
WorkFlow,53,nVmax,-0.35088587992682
WorkFlow,53,nKm,-0.153758684100077
WorkFlow,53,nV,-0.486505962293338
WorkFlow,54,nVmax,0.136363802038995
WorkFlow,54,nKm,-0.0321268584478489
WorkFlow,54,nV,0.00197702183309156
WorkFlow,55,nVmax,0.293011693018846
WorkFlow,55,nKm,-0.0628798847909982
WorkFlow,55,nV,0.212850631116205
WorkFlow,56,nVmax,-0.393871462275187
WorkFlow,56,nKm,-0.258773089245921
WorkFlow,56,nV,-0.634480105979951
WorkFlow,57,nVmax,-0.528107393496097
WorkFlow,57,nKm,-0.162369863683851
WorkFlow,57,nV,0.0194439772544439
WorkFlow,58,nVmax,-0.414682072219566
WorkFlow,58,nKm,-0.160449094862925
WorkFlow,58,nV,-0.256077033764237
WorkFlow,59,nVmax,-0.574616498390965
WorkFlow,59,nKm,-0.253031238308987
WorkFlow,59,nV,0.199387860700968
WorkFlow,60,nVmax,0.379373647148607
WorkFlow,60,nKm,-0.0754941114299304
WorkFlow,60,nV,0.743129681552354
