Scenario,ID,nVmax,nV,nVmax_shrinkage,nV_shrinkage
WorkFlow,1,0.107038739980613,-0.712730068040771,0.048206,0.253679
WorkFlow,2,-0.250836714595992,-0.223467849644487,0.263899,0.25101
WorkFlow,3,-0.0452553522830867,0.00664575557765578,0.195722,0.258647
WorkFlow,4,-0.0305825353558819,-0.531930651935747,0.066607,0.255833
WorkFlow,5,-0.0594371607406952,-0.085697463176724,0.1,0.257888
WorkFlow,6,0.372225785673677,0.0600005658786054,0.077525,0.255311
WorkFlow,7,0.364833403851519,0.170940722452888,0.082961,0.262797
WorkFlow,8,0.0473033409279467,-0.210796683697946,0.100177,0.258777
WorkFlow,9,-0.055954283301772,0.0803076766319228,0.19639,0.262604
WorkFlow,10,0.0157700353294431,-0.274721927394421,0.097085,0.256645
WorkFlow,11,-0.288085523695917,-0.124657093937135,0.287902,0.246948
WorkFlow,12,-0.130844893600318,0.326106644004552,0.339335,0.252856
WorkFlow,13,-0.0164337471877222,-0.0222653616876503,0.13694,0.25659
WorkFlow,14,0.199737990098218,0.422788259708016,0.194561,0.270871
WorkFlow,15,-0.27593336786254,-0.155127477383328,0.277573,0.25153
WorkFlow,16,0.113751685780867,0.0240153347997757,0.103611,0.268946
WorkFlow,17,-0.383083736340515,0.0886389452982943,0.315878,0.250909
WorkFlow,18,-0.169877221921607,-0.231195892496959,0.173849,0.255216
WorkFlow,19,0.22907257243353,-0.00570418567652999,0.095125,0.264937
WorkFlow,20,-0.654198574249152,-0.318765427036403,0.464933,0.23208
WorkFlow,21,0.193703046825928,0.291993542809386,0.121474,0.271516
WorkFlow,22,-0.320512299317955,-0.373562211836102,0.302017,0.244733
WorkFlow,23,0.077364758068218,-0.06607401297389,0.164741,0.264525
WorkFlow,24,-0.351166896937018,-0.248722282657769,0.364236,0.242863
WorkFlow,25,0.307114236996643,0.172594026279206,0.096953,0.265205
WorkFlow,26,0.548721595341175,0.325593662039703,0.083957,0.255891
WorkFlow,27,0.334397137493507,-0.37569803787542,0.051608,0.237018
WorkFlow,28,-0.676279553903817,-0.418796585696832,0.370004,0.235531
WorkFlow,29,0.437667254903638,0.312115448640453,0.100483,0.26725
WorkFlow,30,0.771060863565126,0.161336769202204,0.072609,0.246101
WorkFlow,31,-0.944832169700645,-0.882985093528482,0.595619,0.220113
WorkFlow,32,0.0392732515902662,0.313385857244147,0.236722,0.266573
WorkFlow,33,0.456982808681765,0.351033958851551,0.100286,0.273472
WorkFlow,34,0.0530815348433197,-0.161022593917179,0.077784,0.256487
WorkFlow,35,-0.0588733242126788,0.17263002793726,0.154047,0.260156
WorkFlow,36,0.646486600518472,0.565613667861667,0.101149,0.273753
WorkFlow,37,-0.38794585506066,-0.167356442095626,0.390618,0.241152
WorkFlow,38,0.573065926824316,0.482191770082436,0.098787,0.266504
WorkFlow,39,0.576847702395431,0.109932771936087,0.074106,0.247489
WorkFlow,40,0.0421461570541286,0.00979908840701247,0.153384,0.262141
WorkFlow,41,0.194269520014464,-0.548442879309166,0.048552,0.233008
WorkFlow,42,0.478947045518825,0.274107555126081,0.087831,0.266237
WorkFlow,43,0.266353001388288,0.197999021213669,0.18257,0.270698
WorkFlow,44,-0.779998290378128,-0.184135907790348,0.509555,0.230659
WorkFlow,45,-0.0651971798982433,0.215875573871267,0.296098,0.25698
WorkFlow,46,-0.0899895140603636,0.17468932059219,0.184489,0.261908
WorkFlow,47,-0.717607791591302,-0.585035383311826,0.525837,0.225697
WorkFlow,48,0.154580349518745,0.287737620939012,0.192009,0.268607
WorkFlow,49,0.176746205246644,-0.0216462706627733,0.095635,0.270928
WorkFlow,50,-0.0558513742846979,0.202887709290803,0.252421,0.262106
WorkFlow,51,-0.159746899315941,0.307307285182162,0.266045,0.257303
WorkFlow,52,0.223753030143865,-0.231073144372669,0.082211,0.263497
WorkFlow,53,-0.179930257513501,-0.193416866103777,0.297731,0.24885
WorkFlow,54,0.547028195409734,0.272139127354728,0.081555,0.262982
WorkFlow,55,-0.0396314793108388,0.400815447027396,0.267992,0.262774
WorkFlow,56,0.1364249018779,0.25390371705374,0.174653,0.267824
WorkFlow,57,-0.22179461247103,-0.305305000914474,0.23892,0.248068
WorkFlow,58,-0.0949493110721082,-0.373794757992204,0.094741,0.255362
WorkFlow,59,0.111671440238249,0.070342351928793,0.131285,0.260202
WorkFlow,60,-0.131853507004453,-0.216389229894426,0.149539,0.258943
