Scenario,ID,Eta,Value
WorkFlow,1,nVmax,-1.49426349439662
WorkFlow,1,nV,-7.01886533872427
WorkFlow,2,nVmax,-1.40437079012342
WorkFlow,2,nV,-6.87413341272403
WorkFlow,3,nVmax,-2.75221410323682
WorkFlow,3,nV,-7.57827419452487
WorkFlow,4,nVmax,-2.49358360757648
WorkFlow,4,nV,-8.29298697084816
WorkFlow,5,nVmax,-2.20206123181896
WorkFlow,5,nV,-7.52493569084291
WorkFlow,6,nVmax,-2.37096988503208
WorkFlow,6,nV,-7.49732387885352
WorkFlow,7,nVmax,-2.19774224042791
WorkFlow,7,nV,-7.40981184350203
WorkFlow,8,nVmax,-2.09982363975658
WorkFlow,8,nV,-7.41819508558817
WorkFlow,9,nVmax,-1.45050513706651
WorkFlow,9,nV,-6.67549684037254
WorkFlow,10,nVmax,-3.00885481578382
WorkFlow,10,nV,-8.07339475175838
WorkFlow,11,nVmax,-2.67750549540954
WorkFlow,11,nV,-8.13415003384608
WorkFlow,12,nVmax,-2.17862392851782
WorkFlow,12,nV,-7.28880457455703
WorkFlow,13,nVmax,-1.92380823972123
WorkFlow,13,nV,-6.93132219893986
WorkFlow,14,nVmax,-1.62955264192672
WorkFlow,14,nV,-6.48460027800959
WorkFlow,15,nVmax,-2.34519409066173
WorkFlow,15,nV,-8.00953713075756
WorkFlow,16,nVmax,-2.52059349756453
WorkFlow,16,nV,-7.60075390199781
WorkFlow,17,nVmax,-1.37326211453287
WorkFlow,17,nV,-6.26636407920912
WorkFlow,18,nVmax,-3.14512367673617
WorkFlow,18,nV,-8.36173413543553
WorkFlow,19,nVmax,-2.09198843687107
WorkFlow,19,nV,-7.579903886849
WorkFlow,20,nVmax,-1.58261684845586
WorkFlow,20,nV,-7.03271526121022
WorkFlow,21,nVmax,-1.52631426622176
WorkFlow,21,nV,-6.59783172192871
WorkFlow,22,nVmax,-2.06626318954169
WorkFlow,22,nV,-7.39021853240598
WorkFlow,23,nVmax,-2.20899282698475
WorkFlow,23,nV,-7.37013720859906
WorkFlow,24,nVmax,-3.20480203825026
WorkFlow,24,nV,-7.9368666669428
WorkFlow,25,nVmax,-1.68026124487182
WorkFlow,25,nV,-6.93217489731514
WorkFlow,26,nVmax,-2.20065731106463
WorkFlow,26,nV,-7.2147833159664
WorkFlow,27,nVmax,-1.64420590754592
WorkFlow,27,nV,-6.9770795307629
WorkFlow,28,nVmax,-3.18976224606217
WorkFlow,28,nV,-7.82799933463598
WorkFlow,29,nVmax,-2.39700530003036
WorkFlow,29,nV,-7.16957816307166
WorkFlow,30,nVmax,-2.08073137081568
WorkFlow,30,nV,-7.47962166939086
WorkFlow,31,nVmax,-2.37941350560348
WorkFlow,31,nV,-8.06275623287086
WorkFlow,32,nVmax,-3.02002873728419
WorkFlow,32,nV,-8.34463820713568
WorkFlow,33,nVmax,-1.73214309861742
WorkFlow,33,nV,-6.77137859293839
WorkFlow,34,nVmax,-1.88188458313644
WorkFlow,34,nV,-6.84576244376416
WorkFlow,35,nVmax,-1.12779644224665
WorkFlow,35,nV,-6.06676445651393
WorkFlow,36,nVmax,-2.49009768744033
WorkFlow,36,nV,-7.49519576686281
WorkFlow,37,nVmax,-2.37754598547051
WorkFlow,37,nV,-7.58596875664904
WorkFlow,38,nVmax,-1.7364866843835
WorkFlow,38,nV,-6.84404783982659
WorkFlow,39,nVmax,-1.65017758310919
WorkFlow,39,nV,-7.25679653920221
WorkFlow,40,nVmax,-1.81146783409711
WorkFlow,40,nV,-7.50920230096053
WorkFlow,41,nVmax,-2.58540752581968
WorkFlow,41,nV,-7.80363310235995
WorkFlow,42,nVmax,-1.33579903098869
WorkFlow,42,nV,-6.24092120775944
WorkFlow,43,nVmax,-1.63787762470212
WorkFlow,43,nV,-6.94812689737219
WorkFlow,44,nVmax,-1.42092486497387
WorkFlow,44,nV,-6.58834397407618
WorkFlow,45,nVmax,-2.05961415482638
WorkFlow,45,nV,-7.51941768315705
WorkFlow,46,nVmax,-2.14047683211966
WorkFlow,46,nV,-7.05101706921775
WorkFlow,47,nVmax,-2.02826415986083
WorkFlow,47,nV,-7.28310215149034
WorkFlow,48,nVmax,-2.07452931088452
WorkFlow,48,nV,-7.62796127417429
WorkFlow,49,nVmax,-1.57246423903746
WorkFlow,49,nV,-6.66987225421077
WorkFlow,50,nVmax,-1.53917103923288
WorkFlow,50,nV,-7.01569124636669
WorkFlow,51,nVmax,-2.50217141151189
WorkFlow,51,nV,-7.96327135973826
WorkFlow,52,nVmax,-2.45613891606793
WorkFlow,52,nV,-7.38908007525136
WorkFlow,53,nVmax,-1.25363069315706
WorkFlow,53,nV,-6.31246973430713
WorkFlow,54,nVmax,-0.554298407869061
WorkFlow,54,nV,-9.71891226963109
WorkFlow,55,nVmax,-1.56758136875819
WorkFlow,55,nV,-6.86650802575477
WorkFlow,56,nVmax,-1.34977857743426
WorkFlow,56,nV,-6.83449415914015
WorkFlow,57,nVmax,-2.00024280102981
WorkFlow,57,nV,-7.11146002534681
WorkFlow,58,nVmax,-2.87457121639755
WorkFlow,58,nV,-7.8700857188922
WorkFlow,59,nVmax,-2.50896727331072
WorkFlow,59,nV,-8.0536544468725
WorkFlow,60,nVmax,-2.26715065612299
WorkFlow,60,nV,-7.37410988517275
